2016-10-20 08:51:38 INFO  [org.springframework.context.support.AbstractApplicationContext:960] - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@18f8cd79: startup date [Thu Oct 20 08:50:28 CST 2016]; root of context hierarchy
2016-10-20 08:51:38 INFO  [org.springframework.jmx.export.MBeanExporter:449] - Unregistering JMX-exposed beans on shutdown
2016-10-20 08:51:40 INFO  [org.springframework.boot.StartupInfoLogger:48] - Starting XescmOfcApplication on PtrkMBP.local with PID 63134 (/Users/wangsongtao/coding/xescm-codes/xescm-ofc/target/classes started by wangsongtao in /Users/wangsongtao/coding/xescm-codes/xescm-ofc)
2016-10-20 08:51:40 INFO  [org.springframework.boot.SpringApplication:664] - The following profiles are active: test
2016-10-20 08:51:41 INFO  [org.springframework.context.support.AbstractApplicationContext:578] - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@18f8cd79: startup date [Thu Oct 20 08:51:41 CST 2016]; root of context hierarchy
2016-10-20 08:51:41 INFO  [org.hibernate.validator.internal.util.Version:30] - HV000001: Hibernate Validator 5.2.4.Final
2016-10-20 08:51:42 WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner:226] - Skipping MapperFactoryBean with name 'ofcDistributionBasicInfoMapper' and 'com.xescm.ofc.mapper.OfcDistributionBasicInfoMapper' mapperInterface. Bean already defined with the same name!
2016-10-20 08:51:42 WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner:226] - Skipping MapperFactoryBean with name 'ofcFinanceInformationMapper' and 'com.xescm.ofc.mapper.OfcFinanceInformationMapper' mapperInterface. Bean already defined with the same name!
2016-10-20 08:51:42 WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner:226] - Skipping MapperFactoryBean with name 'ofcFundamentalInformationMapper' and 'com.xescm.ofc.mapper.OfcFundamentalInformationMapper' mapperInterface. Bean already defined with the same name!
2016-10-20 08:51:42 WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner:226] - Skipping MapperFactoryBean with name 'ofcGoodsDetailsInfoMapper' and 'com.xescm.ofc.mapper.OfcGoodsDetailsInfoMapper' mapperInterface. Bean already defined with the same name!
2016-10-20 08:51:42 WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner:226] - Skipping MapperFactoryBean with name 'ofcOrderScreenMapper' and 'com.xescm.ofc.mapper.OfcOrderScreenMapper' mapperInterface. Bean already defined with the same name!
2016-10-20 08:51:42 WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner:226] - Skipping MapperFactoryBean with name 'ofcOrderStatusMapper' and 'com.xescm.ofc.mapper.OfcOrderStatusMapper' mapperInterface. Bean already defined with the same name!
2016-10-20 08:51:42 WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner:226] - Skipping MapperFactoryBean with name 'ofcWarehouseInformationMapper' and 'com.xescm.ofc.mapper.OfcWarehouseInformationMapper' mapperInterface. Bean already defined with the same name!
2016-10-20 08:51:42 WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner:158] - No MyBatis mapper was found in '[com.xescm.ofc.mapper]' package. Please check your configuration.
2016-10-20 08:51:42 WARN  [org.springframework.context.annotation.ConfigurationClassPostProcessor:386] - Cannot enhance @Configuration bean definition 'myBatisMapperScannerConfig' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'.
2016-10-20 08:51:42 INFO  [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:328] - Bean 'myBatisConfig' of type [class com.xescm.ofc.config.MyBatisConfig$$EnhancerBySpringCGLIB$$ff835a03] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-10-20 08:51:42 INFO  [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:328] - Bean 'dataSource' of type [class org.apache.tomcat.jdbc.pool.DataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-10-20 08:51:43 INFO  [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:328] - Bean 'sqlSessionFactoryBean' of type [class org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-10-20 08:51:43 INFO  [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:328] - Bean 'ofcWarehouseInformationMapper' of type [class tk.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-10-20 08:51:43 INFO  [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:328] - Bean 'ofcOrderStatusMapper' of type [class tk.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-10-20 08:51:43 INFO  [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:328] - Bean 'ofcOrderScreenMapper' of type [class tk.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-10-20 08:51:43 INFO  [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:328] - Bean 'ofcGoodsDetailsInfoMapper' of type [class tk.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-10-20 08:51:43 INFO  [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:328] - Bean 'ofcFundamentalInformationMapper' of type [class tk.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-10-20 08:51:43 INFO  [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:328] - Bean 'ofcFinanceInformationMapper' of type [class tk.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-10-20 08:51:43 INFO  [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:328] - Bean 'ofcDistributionBasicInfoMapper' of type [class tk.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-10-20 08:51:43 INFO  [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:328] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$f164f168] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-10-20 08:51:43 INFO  [org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer:81] - Tomcat initialized with port(s): 8080 (http)
2016-10-20 08:51:43 INFO  [org.apache.juli.logging.DirectJDKLog:180] - Starting service Tomcat
2016-10-20 08:51:43 INFO  [org.apache.juli.logging.DirectJDKLog:180] - Starting Servlet Engine: Apache Tomcat/8.0.36
2016-10-20 08:51:43 INFO  [org.apache.juli.logging.DirectJDKLog:180] - Initializing Spring embedded WebApplicationContext
2016-10-20 08:51:43 INFO  [org.springframework.boot.context.embedded.EmbeddedWebApplicationContext:272] - Root WebApplicationContext: initialization completed in 2839 ms
2016-10-20 08:51:44 INFO  [org.springframework.boot.context.embedded.AbstractFilterRegistrationBean:258] - Mapping filter: 'characterEncodingFilter' to: [/*]
2016-10-20 08:51:44 INFO  [org.springframework.boot.context.embedded.AbstractFilterRegistrationBean:258] - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2016-10-20 08:51:44 INFO  [org.springframework.boot.context.embedded.AbstractFilterRegistrationBean:258] - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2016-10-20 08:51:44 INFO  [org.springframework.boot.context.embedded.AbstractFilterRegistrationBean:258] - Mapping filter: 'requestContextFilter' to: [/*]
2016-10-20 08:51:44 INFO  [org.springframework.boot.context.embedded.AbstractFilterRegistrationBean:271] - Mapping filter: 'simpleCORSFilter' to urls: [/*]
2016-10-20 08:51:44 INFO  [org.springframework.boot.context.embedded.AbstractFilterRegistrationBean:271] - Mapping filter: 'jwtViewFilter' to urls: [/ofc/*]
2016-10-20 08:51:44 INFO  [org.springframework.boot.context.embedded.AbstractFilterRegistrationBean:271] - Mapping filter: 'jwtApiFilter' to urls: [/api/*]
2016-10-20 08:51:44 INFO  [org.springframework.boot.context.embedded.ServletRegistrationBean:189] - Mapping servlet: 'dispatcherServlet' to [/]
2016-10-20 08:51:44 INFO  [org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry:534] - Mapped "{[/ofc/orderPlace]}" onto public org.springframework.web.servlet.ModelAndView com.xescm.ofc.web.controller.OfcJumpontroller.index(org.springframework.ui.Model,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2016-10-20 08:51:44 INFO  [org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry:534] - Mapped "{[/ofc/orderScreen]}" onto public java.lang.String com.xescm.ofc.web.controller.OfcJumpontroller.orderScreen(org.springframework.ui.Model)
2016-10-20 08:51:44 INFO  [org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry:534] - Mapped "{[/ofc/orderManage]}" onto public java.lang.String com.xescm.ofc.web.controller.OfcJumpontroller.orderManage(org.springframework.ui.Model)
2016-10-20 08:51:44 INFO  [org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry:534] - Mapped "{[/ofc/orderFollow],methods=[GET]}" onto public java.lang.String com.xescm.ofc.web.controller.OfcJumpontroller.orderFollow(org.springframework.ui.Model,java.lang.String,java.lang.String,java.util.Map<java.lang.String, java.lang.Object>)
2016-10-20 08:51:44 INFO  [org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry:534] - Mapped "{[/ofc/test]}" onto public java.lang.String com.xescm.ofc.web.controller.OfcJumpontroller.demoorderScreen(org.springframework.ui.Model)
